customer_id,segment_seed,monthly_visits,avg_purchase_amount,monthly_total_spend,discount_usage_rate,online_purchase_ratio,return_rate,membership_months,avg_session_minutes,purchase_frequency_score,loyalty_points,complaint_count_6m
CUST_0001,core_high_value,12.993428306022466,159.2751247269482,2069.529914072388,0.2605590893316282,0.6053009963309353,0.03250449005295814,43.78361076166638,25.60476274301203,11.62,1833.0,1
CUST_0002,core_high_value,11.723471397657631,165.99547399507577,1946.043191521892,0.12622677406578997,0.49099917815089594,0.02141188917749494,30.488142836714665,17.757356744741518,9.41,1615.0,2
CUST_0003,core_high_value,13.295377076201385,198.68234012808153,2641.556630384942,0.2695684736084528,0.5543117234402226,0.03244595006064568,27.81801116577693,15.166372932358149,9.68,3055.0,1
CUST_0004,core_high_value,15.046059712816051,195.2592566358366,2937.8824348228713,0.3084510287043961,0.7417677793910948,0.04086596058072776,35.96625542589048,11.945142429548692,9.91,3346.0,3
CUST_0005,core_high_value,11.531693250553328,179.4774601508963,2069.6790158485446,0.23307479225789607,0.5786648602029856,0.030977201406514086,34.298153774750716,10.787441294976219,7.92,2477.0,0
CUST_0006,core_high_value,11.531726086101639,,2109.5353766661933,0.3501436650046453,0.5569654822234223,0.030811833824077647,31.46771950672725,11.663456227978042,8.1,2261.0,0
CUST_0007,core_high_value,15.158425631014783,211.94162239471063,3212.7013211868384,0.13809686407171418,0.34602157885301216,0.01596016624386489,42.963874474567156,19.068506604045933,11.39,3774.0,0
CUST_0008,core_high_value,13.534869458305817,165.21071527910425,2236.1054644160063,0.10042762373508665,0.6619380349040831,0.016741981648981035,45.553052085705104,20.034900092919735,10.77,2529.0,1
CUST_0009,core_high_value,11.061051228130095,193.67743452925095,2142.276025060857,0.05770238008765771,0.6468226271711613,0.0019478945640061286,36.884068862918475,11.675237191871467,7.87,2437.0,1
CUST_0010,core_high_value,13.08512008717193,174.94518368915266,2289.1787372449144,0.31968354491913464,0.874488208495819,0.06499153486373879,50.77530081055262,21.580153256304463,10.86,2352.0,3
CUST_0011,core_high_value,11.073164614375075,174.5579699193195,1932.9091356677575,0.25234925250832463,0.5038332647570499,0.005122735292174298,24.58310885866495,16.067755793266244,8.75,1842.0,0
CUST_0012,core_high_value,11.068540492859487,207.46942129967977,2296.38369068563,0.1955532263271636,0.5828725491495909,0.016141896044081852,34.06340540720282,18.587172047942197,9.25,2696.0,0
CUST_0013,core_high_value,12.48392454313207,200.63540872470074,2504.717303199626,0.22239749010558563,0.5874075525566134,0.01563185468861605,28.83177679397195,24.448882513021697,11.13,2437.0,0
CUST_0014,core_high_value,8.173439510684403,200.33774090001597,1637.4484069534453,0.10996087621612989,0.7866179919645212,0.047898487538888826,17.3346338292694,21.587357263462128,8.4,1663.0,2
CUST_0015,core_high_value,8.550164334973935,212.63697017885823,1818.08103872019,0.3956601583693461,0.5357056701419572,0.024101006434159442,35.17319314157301,16.92587740837667,7.66,1779.0,0
CUST_0016,core_high_value,10.875424941518055,180.52509604081897,1963.287132052265,0.2103376945580182,0.5918532288655509,0.05495484145347468,34.78252491616716,14.43523109833885,8.32,2014.0,3
CUST_0017,core_high_value,9.974337759331153,197.04882428237408,1965.4315284714933,0.20875158356839144,0.6411844764574809,0.016530187515122627,51.13449743242131,9.39273839468278,6.87,1942.0,0
CUST_0018,core_high_value,12.628494665190548,172.2433310851636,2175.1739877236378,0.25806132991189534,0.5779913684734538,0.035579883244476036,42.30811684554777,15.12338672303032,9.34,1782.0,2
CUST_0019,core_high_value,10.183951848957578,188.10415881221104,1915.6436959322266,0.2384807385389371,0.4830349578174208,0.013293058934804852,25.75813175670795,17.155479044689223,8.52,2208.0,0
